Journal title,SJR Impact,SJR Subject Category Best Quartile,Journal article processing charges (APCs),Currency,APC in EUR (including 19% taxes),APC below 2000 EUR,APC information URL,Average number of weeks between submission and publication,Subject category 1,Subject category 2,Journal license,Journal URL,Publisher,pISSN,eISSN
PAIN Reports,1.258,Q1,2500,USD,2796,no,http://journals.lww.com/painrpts/Pages/OpenAccess.aspx,8,Anesthesiology,,CC BY-NC-ND,http://journals.lww.com/painrpts,Wolters Kluwer,NA,2471-2531
Pain and Therapy,0.685,Q2,5500,GBP,7534,"no, but DEAL special terms",https://www.springer.com/journal/40122,6,Anesthesiology,,CC BY-NC,https://www.springer.com/journal/40122,"Adis, Springer Healthcare",2193-8237,2193-651X
BMC Anesthesiology,0.609,Q2,2390,GBP,3274,no,https://bmcanesthesiol.biomedcentral.com/about,24,Anesthesiology,,"CC BY, CC0",https://bmcanesthesiol.biomedcentral.com,BMC,NA,1471-2253
Local and Regional Anesthesia,0.597,Q2,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=31,16,Anesthesiology,,"CC BY, CC BY-NC",https://www.dovepress.com/local-and-regional-anesthesia-journal,Dove Medical Press,NA,1178-7112
Anaesthesiology Intensive Therapy,0.458,Q2,No,-,0,yes,https://www.termedia.pl/Journal/Anaesthesiology_Intensive_Therapy-118,25,Anesthesiology,Medical emergencies. Critical care. Intensive care. First aid,CC BY-NC-SA,https://www.termedia.pl/Journal/Anaesthesiology_Intensive_Therapy-118,Termedia Publishing House,1642-5758,1731-2531
Journal of Cardiothoracic Surgery,0.451,Q2,2090,GBP,2863,no,https://cardiothoracicsurgery.biomedcentral.com/about,15,Anesthesiology,,"CC BY, CC0",https://cardiothoracicsurgery.biomedcentral.com/,BMC,NA,1749-8090
Anesthesiology Research and Practice,0.436,Q2,925,USD,1035,yes,https://www.hindawi.com/journals/arp/apc/,18,Anesthesiology,,CC BY,https://www.hindawi.com/journals/arp/,Hindawi Limited,1687-6962,1687-6970
Journal of Anaesthesiology Clinical Pharmacology,0.41,Q2,No,-,0,yes,https://journals.lww.com/joacp/pages/instructionsforauthors.aspx,50,Anesthesiology,Pharmacy and materia medica,CC BY-NC-SA,http://www.joacp.org/,Wolters Kluwer Medknow Publications,0970-9185,2231-2730
Annals of Cardiac Anaesthesia,0.399,Q2,No,-,0,yes,https://www.annals.in/contributors.asp#mc,26,Anesthesiology,Diseases of the circulatory (Cardiovascular) system,CC BY-NC-SA,http://www.annals.in/,Wolters Kluwer Medknow Publications,0971-9784,0974-5181
JA Clinical Reports,0.192,Q3,1770,GBP,2425,"no, but DEAL special terms",https://jaclinicalreports.springeropen.com/about,9,Anesthesiology,Medical emergencies. Critical care. Intensive care. First aid,CC BY,https://jaclinicalreports.springeropen.com/,SpringerOpen,NA,2363-9024
Case Reports in Anesthesiology,0.163,Q3,725,USD,811,yes,https://www.hindawi.com/journals/cria/apc/,12,Anesthesiology,,CC BY,https://www.hindawi.com/journals/cria/,Hindawi Limited,2090-6382,2090-6390
"Journal of Anesthesia, Analgesia and Critical Care",-,-,1590,GBP,2178,no,https://janesthanalgcritcare.biomedcentral.com/submission-guidelines/fees-and-funding,6,Anesthesiology,Medical emergencies. Critical care. Intensive care. First aid,CC BY,https://janesthanalgcritcare.biomedcentral.com/,BMC,NA,2731-3786
BJA Open,-,-,1500,GBP,2055,no,https://www.elsevier.com/journals/bja-open/2772-6096/open-access-information,11,Anesthesiology,,"CC BY, CC BY-NC-ND",https://www.sciencedirect.com/journal/bja-open,Elsevier,NA,2772-6096
Neurophotonics,0.969,Q1,1675,USD,1874,yes,https://www.spiedigitallibrary.org/journals/open-access,21,Applied optics. Photonics,Neurosciences. Biological psychiatry. Neuropsychiatry,CC BY,https://www.spiedigitallibrary.org/journals/neurophotonics,SPIE,2329-423X,2329-4248
Biomedical Optics Express,0.955,Q1,1965,USD,2198,no,https://opg.optica.org/submit/review/pub_charge.cfm#apcs,10,Applied optics. Photonics,Medical technology,"CC BY, Publisher's own license",https://opg.optica.org/boe/home.cfm,Optica Publishing Group,NA,2156-7085
PLoS Neglected Tropical Diseases,1.298,Q1,2495,USD,2791,no,https://plos.org/publish/fees/,23,Arctic medicine. Tropical medicine,Public aspects of medicine,CC BY,https://journals.plos.org/plosntds/,Public Library of Science (PLoS),1935-2727,1935-2735
Malaria Journal,1.237,Q1,2290,GBP,3137,no,https://malariajournal.biomedcentral.com/about,13,Arctic medicine. Tropical medicine,Infectious and parasitic diseases,"CC BY, CC0",https://malariajournal.biomedcentral.com/,BMC,NA,1475-2875
"Tropical Diseases, Travel Medicine and Vaccines",1.128,Q1,2090,GBP,2863,no,https://tdtmvjournal.biomedcentral.com/about,17,Arctic medicine. Tropical medicine,,"CC BY, CC0",https://tdtmvjournal.biomedcentral.com,BMC,NA,2055-0936
Tropical Medicine and Health,0.81,Q2,2390,GBP,3274,no,https://tropmedhealth.biomedcentral.com/about,11,Arctic medicine. Tropical medicine,,CC BY,http://tropmedhealth.biomedcentral.com/,BMC,1348-8945,1349-4147
Revista Panamericana de Salud Pública,0.607,Q2,No,-,0,yes,http://www.paho.org/journal/index.php?option=com_content&view=article&id=24:about-the-journal&Itemid=122,20,Arctic medicine. Tropical medicine,Public aspects of medicine,CC BY-NC-ND,http://www.paho.org/journal/,Pan American Health Organization,1020-4989,1680-5348
Journal of Venomous Animals and Toxins including Tropical Diseases,0.544,Q2,500,USD,559,yes,http://www.scielo.br/revistas/jvatitd/iaboutj.htm,15,Arctic medicine. Tropical medicine,Toxicology. Poisons,CC BY,http://www.scielo.br/jvatitd,SciELO,NA,1678-9199
Journal of Tropical Medicine,0.526,Q2,1500,USD,1678,yes,https://www.hindawi.com/journals/jtm/apc/,14,Arctic medicine. Tropical medicine,,CC BY,https://www.hindawi.com/journals/jtm/,Hindawi Limited,1687-9686,1687-9694
International Journal of Circumpolar Health,0.479,Q2,522,GBP,715,yes,http://www.tandfonline.com/action/authorSubmission?journalCode=zich20&page=instructions,9,Arctic medicine. Tropical medicine,,"CC BY, CC BY-NC",https://www.tandfonline.com/journals/zich,Taylor & Francis Group,NA,2242-3982
Research and Reports in Tropical Medicine,-,-,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=93,16,Arctic medicine. Tropical medicine,,"CC BY, CC BY-NC",https://www.dovepress.com/research-and-reports-in-tropical-medicine-journal,Dove Medical Press,NA,1179-7282
Journal of the Medical Library Association,0.789,Q1,No,-,0,yes,http://jmla.mlanet.org/ojs/jmla/about/editorialPolicies#openAccessPolicy,26,Bibliography. Library science. Information resources,Medicine,CC BY,http://jmla.mlanet.org/ojs/jmla,"University Library System, University of Pittsburgh",1536-5050,1558-9439
Parasitology,0.683,Q1,3255,GBP,4459,"yes, library special terms",https://www.cambridge.org/core/journals/parasitology/information/author-instructions/fees-and-pricing,12,Biochemistry,Infectious and parasitic diseases,"CC BY, CC BY-SA, CC BY-ND, CC BY-NC, CC BY-NC-SA, CC BY-NC-ND",https://www.cambridge.org/core/journals/parasitology,Cambridge University Press,0031-1820,1469-8161
BBA Advances,0.523,Q3,2300,USD,2573,no,https://www.elsevier.com/journals/bba-advances/2667-1603/open-access-journal,10,Biochemistry,Genetics,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/bba-advances,Elsevier,NA,2667-1603
Molecular Systems Biology,6.22,Q1,5000,EUR,5950,"no, but DEAL special terms",https://www.embopress.org/page/journal/17444292/authorguide#chargesguide,26,Biology (General),Medicine (General),CC BY,https://www.embopress.org/journal/17444292,Wiley,NA,1744-4292
PLoS Biology,4.005,Q1,5300,USD,5928,no,https://plos.org/publish/fees/,28,Biology (General),,CC BY,https://journals.plos.org/plosbiology/,Public Library of Science (PLoS),1544-9173,1545-7885
"Genomics, Proteomics & Bioinformatics",2.869,Q1,3650,USD,4083,no,https://www.elsevier.com/journals/genomics-proteomics-and-bioinformatics/1672-0229/open-access-journal,23,Biology (General),,"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/genomics-proteomics-and-bioinformatics/,Elsevier,1672-0229,NA
Bone Research,2.575,Q1,2590,GBP,3548,"no, but DEAL special terms",https://www.nature.com/boneres/open-access,20,Biology (General),Physiology,CC BY,http://www.nature.com/boneres/,Nature Publishing Group,2095-4700,2095-6231
BMC Biology,2.324,Q1,2690,GBP,3685,no,https://bmcbiol.biomedcentral.com/about,9,Biology (General),,"CC BY, CC0",http://www.biomedcentral.com/bmcbiol/,BMC,NA,1741-7007
Communications Biology,2.251,Q1,3090,GBP,4233,no,https://www.nature.com/commsbio/about/article-processing-charges,13,Biology (General),,CC BY,https://www.nature.com/commsbio/,Nature Portfolio,NA,2399-3642
Open Biology,2.143,Q1,1500,GBP,2055,no,https://royalsocietypublishing.org/rsob/charges,14,Biology (General),,CC BY,https://royalsocietypublishing.org/journal/rsob,The Royal Society,NA,2046-2441
PLoS Computational Biology,1.872,Q1,2655,USD,2970,no,https://plos.org/publish/fees/,32,Biology (General),,CC BY,https://journals.plos.org/ploscompbiol/,Public Library of Science (PLoS),1553-734X,1553-7358
